US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
164,More About Nothing,Wale, INDEPENDENT LABEL SUBMISSION,INDI,43,119,,24,25,-40.5,42,2164,2023.06.29
164,Cool Is In Session 3,Fiend,,,164,,,1,25,,0,25,2023.06.29
164,Hidden Stash Ii - The Kream Of,Kottonmouth Kings,,,164,,,1,25,,0,26,2023.06.29
164,Hydeout Productions: 2nd Colle,Various Artists,,,51,119,,3,25,-40.5,42,850,2023.06.29
173,Czarmageddon,Czarface,TRAFFIC ENTERTAINMENT GRP,TCEG,2,151,,59,24,-17.2,29,18049,2023.06.29
173,Anniversary – The Live Album,Kem,MOTOWN/QUALITY CONTROL,MOT,84,179,,2,24,9.1,22,351,2023.06.29
173,The Diamond Collection,Post Malone,REPUBLIC RECORDS,R-RR,43,98,105,10,24,-63.6,66,1049,2023.06.29
176,3000°,Ambre',ROC NATION,R0CN,107,,,1,23,360.0,5,763,2023.06.29
176,Only You,Steve Monite,SOCIALDISEASERECORDS,SODS,73,,,1,23,360.0,5,938,2023.06.29
176,Beatitudes,J. Rocc,STACRECORDS,STDS,83,,,1,23,999.0,1,280,2023.06.29
176,Hypnos,Ravyn Lenae,ATLANTIC GROUP,ATLG,24,87,24,3,23,-68.5,73,1552,2023.06.29
180,Girls Night Out,Babyface,CAPITOL MUSIC GROUP,CAP ,6,117,166,8,22,-48.8,43,6465,2023.06.29
180,"Half Man, Half Vamp",Lil Poppa,INTERSCOPE/GEFFEN/A&M,INT ,180,,,1,22,,0,22,2023.06.29
180,Imagine,Melba Moore,,,161,,,1,22,57.1,14,259,2023.06.29
180,Mob,BabyFace Ray,Empire,EMPR,15,,,1,22,999.0,2,1220,2023.06.29
184,Surf Or Drown 2,"Hit-Boy, Big Hit", INDEPENDENT LABEL SUBMISSION,INDI,73,73,,2,21,-77.7,94,115,2023.06.29
