US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
143,Therapy Session,Bigxthaplug,,,89,89,127,3,3435762,-14.8,4033265,3153822,281940,11156760,11156760,2024.10.31
144,IRan,Rod Wave,ALAMO,ALAM,50,120,50,3,3410756,-5.3,3603179,3044010,366746,12451405,12451405,2024.10.31
145,Mockingbird,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,18,123,121,104,3390986,-5.4,3583570,2856570,534416,149550337,1010609246,2024.10.31
146,Unforgettable,French Montana Feat. Swae Lee,EPIC,EPIC,2,133,152,220,3389610,-3.3,3505548,2914714,474896,160539584,1931075988,2024.10.31
147,Agora Hills,Doja Cat, RCA,RCA,3,146,138,58,3387055,-0.6,3405962,3142585,244470,259883287,432950350,2024.10.31
148,The Color Violet,Tory Lanez,CMG,One ,28,134,143,113,3370130,-3.7,3500339,3311915,58215,169992480,534433671,2024.10.31
149,Love On The Brain,Rihanna,ROC NATION,R0CN,16,162,172,191,3357692,2.0,3290899,3128775,228917,142554385,1378979953,2024.10.31
150,Bandit,Don Toliver,ATLANTIC GROUP,ATLG,7,131,140,39,3352331,-4.8,3521542,3264657,87674,196782665,196782665,2024.10.31
151,One Take Freestyle,1900rugrat,300 ENTERTAINME,300E,85,85,0,2,3349366,-17.8,4075879,3205382,143984,12834427,12834427,2024.10.31
152,"Bitch, Don'T Kill My Vibe",Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,64,140,153,142,3344827,-2.7,3437089,3150307,194520,157040457,1161740899,2024.10.31
153,20 Min,Lil Uzi Vert,ATLANTIC GROUP,ATLG,62,160,156,213,3343856,1.4,3298561,3232297,111559,127448121,1104362448,2024.10.31
154,Law & Order,Bigxthaplug,,,101,101,130,3,3322838,-14.2,3870885,2967851,354987,10860791,10860791,2024.10.31
155,Circadian Rhythm,Drake,OVO / REPUBLIC RECORDS,R-RR,12,127,119,9,3308645,-6.9,3552605,3237100,71545,44093182,44093182,2024.10.31
156,Favorite Song,Toosii,CAPITOL RECORDS,CAP,2,172,188,89,3307071,2.6,3224256,2419145,887926,183966569,757524250,2024.10.31
157,Revenge,Xxxtentacion, EMPIRE DISTRIBUTION,EMPI,30,152,146,120,3298505,-2.0,3367520,3167604,130901,142108821,916643488,2024.10.31
