US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
150,Brandy (You're A Fine Girl),Looking Glass,SME/LEGACY RECORDINGS,LEGC,79,180,138,110,2728059,7.3,2541914,2580749,147310,59434431,555506356,2023.06.22
151,7 YEARS,Lukas Graham,WARNER RECORDS,WAR ,1,185,159,393,2726578,8.1,2522376,2252630,473948,70679183,1542082049,2023.06.22
152,MONTERO (Call Me By Your Name),Lil Nas X,SONY/COLUMBIA,COL,1,165,167,116,2712468,1.2,2679307,1642571,1069897,68709162,986533444,2023.06.22
153,Roar,Katy Perry,Watertower Music,WTM,24,159,137,364,2699587,-0.5,2712321,2192980,506607,67593563,1047805646,2023.06.22
154,7 Rings,Ariana Grande,REPUBLIC RECORDS,R-RR,1,166,175,231,2697119,1.8,2649408,2168246,528873,72801661,1729125621,2023.06.22
155,Diamonds,Rihanna,DEF JAM RECORDINGS,DEF ,13,175,146,225,2693628,4.0,2590338,2110144,583484,89407154,777749873,2023.06.22
156,...Ready For It?,Taylor Swift,BIG MACHINE,BGMA,2,162,157,75,2685029,-0.7,2704038,2669479,15550,49793250,513433901,2023.06.22
157,willow,Taylor Swift,REPUBLIC RECORDS,R-RR,1,154,151,81,2681381,-1.8,2731683,2597157,84224,58890386,411704808,2023.06.22
158,I'm Still Standing,Elton John,ISLAND,ISL ,110,146,177,41,2679555,-3.7,2783519,2133569,545986,66986709,351572008,2023.06.22
159,"Money, Money, Money","Meryl Streep ,Julie Walters , Chr",DECCA INTERNATIONAL,DECC,13,121,92,8,2665138,-11.4,3007951,248264,2416874,47569345,85629499,2023.06.22
