US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
147,For What It's Worth,Buffalo Springfield,ATLANTIC GROUP,ATLG,49,159,149,144,2460723,2.9,2390582,2173384,287339,53241161,530129545,2023.06.22
148,Sparks,Coldplay,ATLANTIC GROUP,ATLG,54,145,124,93,2457519,-1.6,2497103,2194434,263085,69735162,352367616,2023.06.22
149,Highway To Hell,AC/DC,Columbia Records,COL ,12,163,139,395,2456868,3.9,2364878,2265679,191189,56216449,762423770,2023.06.22
150,How You Remind Me,Nickelback,ROADRUNNER RECORDS,ROAD,101,164,157,271,2436444,3.3,2359269,2133876,302568,56000356,572215228,2023.06.22
151,TV,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,7,121,142,48,2425609,-10.5,2709851,1956185,469424,89796588,180152123,2023.06.22
152,Best Day Of My Life,American Authors,ISLAND,ISL,58,118,167,193,2421400,-12.1,2753842,1645383,776017,51735816,572555484,2023.06.22
153,Zombie,Cranberries,ISLAND,ISL,4,158,164,269,2416855,0.9,2395114,1972895,443960,52758324,607291357,2023.06.22
154,Electric Feel,MGMT,Columbia Records,COL ,18,0,0,198,2410767,29.6,1860748,1783893,626874,38682922,568651377,2023.06.22
155,Chamber Of Reflection,Mac DeMarco, INDEPENDENT LABEL SUBMISSION,INDI,37,153,136,104,2396360,-1.0,2420459,2091870,304490,79257638,446324656,2023.06.22
156,Cigarette Daydreams,Cage The Elephant, RCA,RCA,43,152,132,184,2385719,-1.5,2423272,2324245,61474,57348762,597397366,2023.06.22
157,Kickstart My Heart,Motley Crue,MOTLEY RECORDS,MTLY,28,161,144,131,2384919,0.4,2375900,1981702,403217,52780192,503265051,2023.06.22
158,You Get What You Give,New Radicals,INTERSCOPE/GEFFEN/A&M,INT ,113,0,0,3,2377862,100.4,1186722,879584,1498278,27894298,251137748,2023.06.22
159,Telephones,Vacations,,,34,140,199,38,2377234,-6.3,2535973,1681709,695525,66940845,167202256,2023.06.22
160,We Will Rock You,Queen,HOLLYWOOD RECORDS,HOL ,8,160,160,393,2373094,-0.4,2383063,2167534,205560,54098726,845706813,2023.06.22
161,American Pie,Don McLean,CAPITOL MUSIC GROUP,CAP ,22,182,125,214,2369631,6.0,2235908,2297812,71819,51387465,577296051,2023.06.22
162,Dancing in the Moonlight,King Harvest,THE ORCHARD,ORCH,109,175,150,128,2360479,3.8,2274658,2211372,149107,52472437,459451997,2023.06.22
163,Piano Man,Billy Joel,Columbia Records,COL ,5,197,143,395,2354695,9.3,2153869,2102820,251875,57208683,850677478,2023.06.22
