US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
93,What I Got,Sublime,INTERSCOPE/GEFFEN/A&M,INT ,93,96,101,162,2982129,-1.3,3020275,2870469,111660,49655076,628661725,2024.06.13
94,Brazil,Declan Mckenna,Columbia Records,COL ,81,88,81,23,2963440,-3.4,3068920,2933935,29505,54651350,305232734,2024.06.13
95,Apocalypse,Cigarettes After Sex,PTKF,PTK ,20,92,94,136,2961717,-2.7,3044986,2876550,85167,86598516,575039112,2024.06.13
96,Cigarettes Out The Window,TV Girl,,,34,90,93,71,2961610,-2.9,3051185,2777413,184197,80279819,296607130,2024.06.13
97,Stressed Out,Twenty One Pilots,FUELED BY RAMEN,FUER,1,130,156,446,2951229,13.2,2607933,2532196,419033,72747977,1848182388,2024.06.13
98,Another One Bites The Dust,Queen,HOLLYWOOD RECORDS,HOL ,6,106,92,353,2943919,2.6,2869074,2928360,15559,69529412,1090024751,2024.06.13
99,Linger,Royel Otis, INDEPENDENT LABEL SUBMISSION,INDI,99,,,1,2943493,47.2,2000326,2934491,9002,5244057,5244057,2024.06.13
100,"Paint It, Black",Rolling Stones,ABKCO,ABK ,43,93,85,431,2943251,-3.2,3041318,2714301,228950,71882799,822844443,2024.06.13
101,Drops Of Jupiter (Tell Me),Train,Columbia Records,COL ,44,100,98,326,2929965,-0.5,2945258,2912369,17596,57859139,748697882,2024.06.13
102,Take Me Out,Franz Ferdinand,EPIC,EPIC,102,0,0,2,2928576,34.2,2181867,2814134,114442,39931027,384916356,2024.06.13
103,Californication,Red Hot Chili Peppers, WARNER Records,WAR,51,94,155,384,2924351,-3.5,3031474,2730169,194182,57946452,756808378,2024.06.13
104,Dream On,Aerosmith,Columbia Records,COL ,1,108,100,441,2923991,2.4,2854142,2716881,207110,76303054,1195930414,2024.06.13
105,She Calls Me Back,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,8,104,127,37,2901252,0.5,2885783,2879200,22052,79374676,169672200,2024.06.13
106,Drive,Incubus,EPIC,EPIC,106,107,128,17,2837910,-1.0,2865571,2736855,101055,56246012,546226293,2024.06.13
107,Space Song,Beach House, SUB POP,SUBP,1,110,120,170,2829214,-0.5,2842009,2637124,192090,83350143,834755790,2024.06.13
108,Mary Jane's Last Dance,Tom Petty & The Heartbreakers,INTERSCOPE/GEFFEN/A&M,INT ,8,118,138,126,2827001,4.2,2713143,2686653,140348,49330821,592650474,2024.06.13
109,Work Song,Hozier,SONY/COLUMBIA,COL,30,109,111,85,2819580,-0.8,2842529,2680468,139112,83302640,504007916,2024.06.13
110,Sexy To Someone,Clairo,,,74,87,74,3,2814844,-8.9,3089825,2804433,10411,9737001,9737001,2024.06.13
111,Rocket Man,Elton John,ISLAND,ISL ,12,98,96,373,2814076,-5.8,2988456,2695223,118853,68287648,944386941,2024.06.13
112,Bohemian Rhapsody,Queen,HOLLYWOOD RECORDS,HOL ,1,113,113,446,2806359,0.5,2793108,2774456,31903,68691507,1710219138,2024.06.13
113,Eye Of The Tiger,Survivor, RCA,RCA,3,120,117,446,2785921,2.9,2706919,2414140,371781,75928174,1379165792,2024.06.13
114,Electric Feel,MGMT,Columbia Records,COL ,18,103,109,213,2773274,-4.6,2907708,2680335,92939,53165818,664943861,2024.06.13
115,Out Of My League,Fitz & The Tantrums,NEW ELEKTRA,NELK,24,119,178,216,2772243,2.3,2709256,2693629,78614,66825537,664228746,2024.06.13
116,Zombie,Cranberries,ISLAND,ISL,4,122,125,320,2772238,2.8,2696389,2350301,421937,67037932,741056325,2024.06.13
117,Listen To The Music,Doobie Brothers,WARNER RECORDS,WAR ,77,117,124,139,2762070,0.3,2754411,2681959,80111,54407009,592557955,2024.06.13
118,Ride,Twenty One Pilots,FUELED BY RAMEN,FUER,1,105,112,396,2760267,-3.8,2869680,2603100,157167,52923367,1320990025,2024.06.13
119,Free Fallin',Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,4,137,105,344,2746234,7.0,2567159,2663118,83116,57329302,794380555,2024.06.13
120,More Than a Feeling,Boston,EPIC,EPIC,51,127,99,442,2740381,3.5,2646781,2529818,210563,65298902,881964504,2024.06.13
121,Summer of '69,Bryan Adams,A&M RECORDS,AAM ,64,132,118,198,2730442,4.8,2605356,2616705,113737,53602347,634573082,2024.06.13
122,Daddy Issues,Neighbourhood,Columbia Records,COL ,5,111,119,211,2728275,-3.3,2820460,2490454,237821,65264046,789688088,2024.06.13
123,Hold The Line,Toto,Columbia Records,COL ,4,123,115,25,2683509,-0.3,2691484,2533088,150421,51514018,448191772,2024.06.13
124,"Sex, Drugs, Etc.",Beach Weather,Arista,ARI,33,112,136,96,2664912,-5.3,2814315,2556123,108789,62518254,318434264,2024.06.13
125,Demons,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,124,133,446,2664120,-0.6,2680850,2433620,230500,71362417,1472595220,2024.06.13
126,Welcome To The Jungle,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,26,126,134,446,2660524,0.0,2660284,2507083,153441,58396575,888669278,2024.06.13
127,BLACK HOLE SUN,Soundgarden,A&M RECORDS,AAM ,6,139,132,117,2659184,4.1,2554698,2486943,172241,66532300,640653533,2024.06.13
128,Way Down We Go,Kaleo,NEW ELEKTRA,NELK,4,162,167,294,2650817,10.2,2404978,2356990,293827,82179723,813607073,2024.06.13
129,Fade Into You,Mazzy Star,CAPITOL MUSIC GROUP,CAP ,59,121,141,96,2647190,-2.0,2699956,2453085,194105,65857044,535496715,2024.06.13
130,Dog Days Are Over,Florence + The Machine,REPUBLIC RECORDS,R-RR,27,125,137,103,2629552,-1.7,2674282,2492535,137017,64327730,629264030,2024.06.13
131,NOTION,Rare Occasions,ATLANTIC GROUP,ATLG,9,140,190,121,2626211,3.1,2548216,2362270,263941,53175888,394075687,2024.06.13
132,Jealous,Eyedress,,,33,116,149,156,2609928,-5.9,2773958,2580107,29821,69994637,417000934,2024.06.13
133,Go Your Own Way,Fleetwood Mac,WARNER RECORDS,WAR ,39,99,131,224,2605340,-11.6,2946736,2541283,64057,58573493,661765175,2024.06.13
134,Everywhere,Fleetwood Mac,WARNER RECORDS,WAR ,83,128,143,76,2588783,-1.7,2632632,2503784,84999,56325694,446136917,2024.06.13
135,Bones,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,133,140,118,2586448,-0.4,2595803,2227246,359202,100346719,835238727,2024.06.13
136,DRAGULA,Rob Zombie,INTERSCOPE/GEFFEN/A&M,INT ,66,136,159,73,2563264,-0.7,2581978,2284464,278800,55422880,544190169,2024.06.13
137,Long Cool Woman In A Black Dress,Hollies,EPIC,EPIC,14,157,163,47,2558784,4.3,2452801,2240729,318055,49411364,555085868,2024.06.13
138,Ronald,"Tech N9ne, Falling In Reverse, Alex Terrible",Epitaph,EPI,13,168,152,6,2557365,8.2,2363635,2146534,410831,18791422,18791422,2024.06.13
139,Psycho,Hardy,REPUBLIC RECORDS,R-RR,111,151,0,3,2555582,3.4,2472498,2399518,156064,10070924,10070924,2024.06.13
140,Budapest,George Ezra,Columbia Records,COL ,45,152,160,77,2546158,3.0,2471950,2509665,36493,42310974,553941757,2024.06.13
141,Animal I Have Become,Three Days Grace, RCA,RCA,50,156,177,346,2534746,3.3,2452912,2249773,284973,62603585,785154881,2024.06.13
142,Careless Whisper,Wham!,EPIC,EPIC,86,134,139,12,2532781,-2.2,2589587,2004674,528107,70724541,1169683852,2024.06.13
143,Tongue Tied,Grouplove,ATLANTIC GROUP,ATLG,2,129,87,281,2532741,-3.4,2623012,2476383,56358,58741149,827655730,2024.06.13
144,Free Bird,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,6,150,145,397,2529029,2.3,2472664,2156860,372169,70709677,864451886,2024.06.13
145,Do I Wanna Know?,Arctic Monkeys,DOMINO,DOMI,24,142,148,446,2523415,0.6,2507909,2286307,237108,66518449,971854234,2024.06.13
146,Heart To Heart,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,15,159,170,79,2522225,3.2,2443956,2413920,108305,69925235,297072114,2024.06.13
147,Can't Stop,Red Hot Chili Peppers,WARNER RECORDS,WAR ,65,115,67,73,2517838,-9.4,2780391,2404136,113702,59869576,608097469,2024.06.13
148,Stuck In The Middle With You,Stealers Wheel,INTERSCOPE/GEFFEN/A&M,INT ,145,153,162,12,2506131,1.7,2464026,2377348,128783,48829837,450651236,2024.06.13
149,A Tear In Space (Airlock),Glass Animals,,,149,,,1,2492484,117803.7,2114,2413176,79308,2494598,2494598,2024.06.13
150,Upside Down,Jack Johnson,REPUBLIC RECORDS,R-RR,46,131,103,16,2486790,-4.6,2607739,2348263,138527,46045150,386207173,2024.06.13
151,(I Hate) Everything About You,Three Days Grace, RCA,RCA,37,155,172,430,2486533,1.4,2453389,2254616,231917,62756521,792466017,2024.06.13
152,One Step Closer,Linkin Park,WARNER RECORDS,WAR ,11,135,0,16,2484613,-3.8,2583423,2345964,138649,51373507,443770080,2024.06.13
153,Blue Hair,TV Girl,,,53,138,135,28,2478802,-3.0,2555618,2361613,117189,68713519,211162192,2024.06.13
154,Eyes Closed,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,25,145,106,10,2476262,-1.1,2504762,2349514,126748,33997886,33997886,2024.06.13
155,Ain'T No Rest For The Wicked,Cage The Elephant, RCA,RCA,68,160,165,367,2459326,1.7,2417265,2313963,145363,60608831,729868502,2024.06.13
156,A Sky Full Of Stars,Coldplay,ATLANTIC GROUP,ATLG,16,147,169,152,2458651,-1.4,2493219,2257857,200794,49106647,617029000,2024.06.13
157,All Star,Smash Mouth,INTERSCOPE/GEFFEN/A&M,INT ,2,146,150,434,2451001,-1.8,2496758,2206031,244970,55852145,1409067873,2024.06.13
158,Radioactive,Imagine Dragons,THE ORCHARD,ORCH,3,149,161,446,2446749,-1.7,2488213,2265988,180761,59073639,1550667043,2024.06.13
159,Misery Business,Paramore,FUELED BY RAMEN,FUER,24,114,0,225,2445837,-12.4,2792554,2213063,232774,60168968,713292267,2024.06.13
160,The Joker,Steve Miller Band,CAPITOL MUSIC GROUP,CAP ,28,154,142,258,2443024,-0.6,2458839,2297658,145366,52336868,715197487,2024.06.13
161,"You're Gonna Go Far, Kid",Offspring,UNIVERSAL MUSIC ENTERPRISES,UME ,62,158,184,371,2430214,-0.6,2445538,2304192,126022,52338629,731622894,2024.06.13
162,Last Resort,Papa Roach,DGC/INTERSCOPE,DGCI,35,141,171,415,2424252,-4.4,2536774,2267102,157150,54485864,774790299,2024.06.13
163,Heathens,Twenty One Pilots,ATLANTIC GROUP,ATLG,1,143,153,402,2423010,-3.4,2507800,2124604,298406,53683248,1770252688,2024.06.13
164,Call Your Mom,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,32,144,179,26,2411167,-3.8,2506668,2336074,75092,55644479,113018228,2024.06.13
165,Rhiannon,Fleetwood Mac,WARNER RECORDS,WAR ,14,171,188,202,2404753,2.2,2353043,2308725,96028,52249716,656145783,2024.06.13
166,Carry You Home,Alex Warren,ATLANTIC GROUP,ATLG,166,,,1,2402749,11.1,2163225,2293312,109437,4567776,4567776,2024.06.13
167,SIX FEET UNDER (Caleigh's Song),Hardy,,,167,,,1,2397100,55298.7,4327,2307494,89606,2404524,2404524,2024.06.13
168,Shake The Frost (Live),Tyler Childers,,,131,199,189,25,2395731,7.7,2225447,2384322,11409,50724514,309749848,2024.06.13
169,Like a Stone,Audioslave,HIP-O RECORDS,HIPD,11,189,0,76,2386819,5.8,2256294,2084509,302310,44192878,549122714,2024.06.13
170,"Sugar, We're Goin Down",Fall Out Boy,ISLAND,ISL,79,164,198,445,2386600,0.0,2386246,2295310,91290,54357448,788794190,2024.06.13
171,Night Moves,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,116,177,154,128,2381789,2.9,2313946,2220563,161226,49120792,531589679,2024.06.13
172,1979,Smashing Pumpkins,VIRGIN,VRGN,156,184,0,18,2366447,4.0,2275940,2254431,112016,50593128,521530139,2024.06.13
173,Change (In the House of Flies),Deftones,WARNER RECORDS,WAR ,118,197,0,74,2348904,5.5,2226266,2170523,178381,53717786,440817387,2024.06.13
174,You Give Love a Bad Name,Bon Jovi,ISL,ISL,96,167,187,41,2338156,-1.3,2368852,2233122,105034,51679233,578416381,2024.06.13
175,Dancing In The Dark,Bruce Springsteen,Columbia Records,COL ,161,161,173,4,2331224,-3.2,2408349,2157624,173600,41270973,427434480,2024.06.13
176,Don't Stop Me Now,Queen,HOLLYWOOD RECORDS,HOL ,8,169,194,430,2330323,-1.3,2361045,2196833,133490,55496522,973850298,2024.06.13
177,Everybody Talks,Neon Trees,ISLAND,ISL ,4,163,180,219,2320339,-2.8,2387402,2284304,36035,48127223,829330762,2024.06.13
178,Ho Hey,Lumineers,DUALTONE MUSIC,DUA ,37,187,183,430,2310943,2.1,2263893,2215553,95390,55033669,831654455,2024.06.13
179,Carry On My Wayward Son,Kansas,EPIC,EPIC,42,191,166,437,2308050,2.6,2249329,2120207,187843,55252316,899707731,2024.06.13
180,We Will Rock You,Queen,HOLLYWOOD RECORDS,HOL ,8,166,181,430,2306875,-2.6,2369549,2151367,155508,55645844,957106744,2024.06.13
181,I Love Rock 'n Roll,Joan Jett & The Blackhearts,SME/LEGACY RECORDINGS,LEGC,165,165,193,5,2301781,-3.4,2383269,2211984,89797,43250735,402608672,2024.06.13
182,All Summer Long,Kid Rock, WARNER Records,WAR ,29,173,146,98,2294574,-1.7,2334207,2058954,235620,38599439,572930062,2024.06.13
183,Wonderwall,Oasis,THE ORCHARD,ORCH,36,176,185,437,2292651,-1.1,2318844,2157370,135281,53872304,827593780,2024.06.13
184,One Last Breath,Creed,BICYCLE MUSIC,BIKE,93,0,0,18,2291898,8.6,2110578,2090055,201843,53954565,308527107,2024.06.13
185,Ophelia,Lumineers,DUA,DUA,2,179,191,436,2288071,-0.6,2302525,2219550,68521,62927275,1174986027,2024.06.13
186,Softcore,Neighbourhood,Columbia Records,COL ,10,148,186,127,2287841,-8.2,2490867,2143392,144449,60075827,388871342,2024.06.13
187,Forever,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,172,0,17,2287733,-2.7,2350053,2263748,23985,67948570,67948570,2024.06.13
188,Gypsy,Fleetwood Mac,WARNER RECORDS,WAR ,60,182,199,18,2277583,-0.7,2293699,2124711,152872,47853731,495774241,2024.06.13
189,Rock Star,Nickelback,ROADRUNNER RECORDS,ROAD,29,193,0,288,2268839,1.0,2247187,1884974,383865,51157358,726554048,2024.06.13
190,Freaks,Surf Curse,ATLANTIC GROUP,ATLG,8,175,0,164,2267668,-2.3,2320675,2072413,195255,62927858,593604819,2024.06.13
191,The Craving,Twenty One Pilots,,,14,67,14,3,2262304,-34.6,3457772,2200389,61915,12221104,12221104,2024.06.13
192,Amber,311,RELATIVITY MUS2,RM2 ,192,,,1,2261166,1.9,2218229,2193669,67497,37082394,385417554,2024.06.13
193,Paranoid,Black Sabbath,SNCI,SNCI,131,0,0,26,2260096,3.7,2180267,2046417,213679,52746665,508959539,2024.06.13
194,Beast Of Burden,Rolling Stones,INTERSCOPE/GEFFEN/A&M,INT ,73,0,200,128,2259751,2.0,2216314,2177608,82143,44471812,581829560,2024.06.13
195,Under Pressure,Queen & David Bowie,SONY/COLUMBIA,COL,3,0,176,403,2259147,4.3,2166346,2200472,58675,53215892,914703697,2024.06.13
196,Everywhere Everything,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,15,200,0,22,2258850,1.7,2221879,2240304,18546,65081457,131469706,2024.06.13
197,Dancing in the Moonlight,King Harvest,THE ORCHARD,ORCH,109,0,157,162,2256388,3.4,2182059,2144664,111724,52750820,571417894,2024.06.13
198,House Of The Rising Sun,Animals,ABKCO,ABK ,45,198,164,409,2250622,1.1,2226112,1982756,267866,52545382,829247766,2024.06.13
199,In The Air Tonight,Phil Collins,ATLANTIC GROUP,ATLG,4,0,147,441,2244353,2.8,2183005,1940383,303970,55419995,898142864,2024.06.13
200,Somewhere Only We Know,Keane,INTERSCOPE/GEFFEN/A&M,INT ,6,181,0,92,2239733,-2.5,2296011,1958422,281311,67976886,577797007,2024.06.13
Copyright (c) 2024 Luminate Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2024.06.13
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.06.20
1,Too Sweet,Hozier,SONY/COLUMBIA,COL,1,1,1,13,20494450,-5.3,21652043,19054434,1440016,333879018,333879018,2024.06.20
2,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,1,2,3,102,11047558,-3.3,11420323,10676474,371084,346368940,695379633,2024.06.20
3,Stargazing,Myles Smith, RCA,RCA,3,4,4,6,9297637,-7.5,10056845,9015788,281849,52599551,52599551,2024.06.20
4,Wildflower,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,2,3,2,5,8666077,-19.2,10721880,8351859,314218,63340597,63340597,2024.06.20
5,End Of Beginning,Djo,,,1,5,5,19,7425575,-9.4,8192056,7082917,342658,217267139,237085371,2024.06.20
6,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,1,6,9,425,7170841,1.6,7057441,6746644,424197,162051563,1643896215,2024.06.20
7,Don't Stop Believin',Journey,Columbia Records,COL ,2,7,10,447,6806701,-2.4,6972212,6163087,643614,129811880,1645222307,2024.06.20
8,Sweater Weather,Neighbourhood,Columbia Records,COL ,1,9,7,447,6775340,0.0,6772080,6050719,724621,160849303,2039087129,2024.06.20
9,Scared To Start,Michael Marcagi,Warner Records,WAR,4,8,8,23,6646676,-4.2,6941085,6547318,99358,149159001,149159001,2024.06.20
10,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,1,10,12,54,6566975,-1.5,6663701,6440907,126068,174494223,400276686,2024.06.20
11,Hell N Back,Bakar,EPIC,EPIC,4,11,13,10,6023595,-6.3,6431976,5838472,185123,126270012,417620500,2024.06.20
12,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,3,16,15,447,5582547,-0.2,5594456,5295315,287232,114874265,1507746663,2024.06.20
13,Everlong,Foo Fighters, RCA,RCA,10,15,14,409,5577559,-1.1,5637295,5288639,288920,124562773,981658634,2024.06.20
14,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,1,22,23,176,5476325,11.7,4903328,5011734,464591,117680561,1889216973,2024.06.20
15,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,10,20,18,446,5345480,3.1,5187112,4987304,358176,117855747,1090014315,2024.06.20
16,Take Me to Church,Hozier,Columbia Records,COL ,3,18,19,447,5211518,-0.6,5243885,4767684,443834,123456099,1664144631,2024.06.20
17,The Greatest,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,4,12,6,5,5211398,-17.4,6310098,5001926,209472,44180898,44180898,2024.06.20
18,Brown Eyed Girl,Van Morrison,SONY/COLUMBIA,COL,4,17,17,373,5199609,-2.8,5351362,5036948,162661,94614326,966846590,2024.06.20
19,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,1,19,16,337,5155091,-0.9,5203683,4631191,523900,137558541,1368869968,2024.06.20
20,Mr. Brightside,Killers,ISLAND,ISL,9,21,20,447,5047089,-2.3,5165220,4852063,195026,122131193,1443605842,2024.06.20
21,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,5,25,26,434,4766606,3.9,4588357,4439355,327251,103646985,1164268362,2024.06.20
22,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,6,26,24,447,4675189,3.0,4537320,4041762,633427,105487209,1440739470,2024.06.20
23,Your Love,Outfield,SONY/COLUMBIA,COL,19,23,22,350,4647796,-2.9,4785776,4198344,449452,87187557,793868663,2024.06.20
24,My Love Mine All Mine,Mitski,Dead Oceans,DOC,1,24,21,40,4540605,-3.6,4711749,4352067,188538,206295016,390927746,2024.06.20
25,All My Life,Falling In Reverse & Jelly Roll,Epitaph,EPI,13,13,0,2,4535208,-27.4,6243434,3976216,558992,11622922,11622922,2024.06.20
26,Skinny,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,3,14,11,5,4441708,-23.0,5769812,4323636,118072,44073961,44073961,2024.06.20
27,Thunderstruck,AC/DC,Columbia Records,COL ,8,32,31,447,4363255,3.1,4233956,3951547,411708,98956332,1300296115,2024.06.20
28,In the End,Linkin Park,WARNER RECORDS,WAR ,3,28,33,447,4350304,-1.8,4427887,3789902,560402,97880962,1175343903,2024.06.20
29,Iris,Goo Goo Dolls,WARNER RECORDS,WAR ,16,29,30,447,4301366,0.2,4290657,3969920,331446,100579701,1010357376,2024.06.20
30,You Shook Me All Night Long,AC/DC,Columbia Records,COL ,30,35,39,388,4293636,3.0,4170533,4087604,206032,79015966,847330059,2024.06.20
31,Evergreen,Richy Mitch & The Coal Miners,,,12,27,25,42,4214785,-6.0,4485664,4199254,15531,104292478,207833662,2024.06.20
32,Santeria,Sublime,INTERSCOPE/GEFFEN/A&M,INT ,26,30,32,447,4190892,-1.7,4262364,4026317,164575,84717504,968234336,2024.06.20
33,Scar Tissue,Red Hot Chili Peppers,WARNER RECORDS,WAR ,33,34,52,273,4173671,-0.4,4190503,4022111,151560,70831231,696834968,2024.06.20
34,Numb,Linkin Park,WARNER RECORDS,WAR ,2,43,41,447,4135135,2.7,4026018,3617268,517867,95149743,1126722624,2024.06.20
35,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,2,31,28,377,4131741,-2.8,4251148,3761116,370625,120425713,1224884931,2024.06.20
36,Lovers Rock,TV Girl,,,8,44,38,110,4085249,2.1,4002871,3968192,117057,114730422,476950950,2024.06.20
37,505,Arctic Monkeys, WBR - PARLOPHONE,WBR,9,46,45,206,4060665,2.8,3950670,3798971,261694,103034995,823146644,2024.06.20
38,Smells Like Teen Spirit,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,4,37,35,447,4059144,-1.5,4121784,3652768,406376,105834092,1414260564,2024.06.20
39,misses,Dominic Fike,Columbia Records,COL ,39,58,170,7,4038362,12.1,3601088,4025795,12567,20171164,20171164,2024.06.20
40,Believer,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,38,43,385,4024524,-1.6,4090995,3357707,666817,116322859,3050958223,2024.06.20
41,Sweet Child O' Mine,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,4,45,49,447,4019210,1.1,3976541,3681764,337446,93981610,1349583511,2024.06.20
42,Chop Suey!,System Of A Down,Columbia Records,COL ,6,47,42,447,3987279,1.5,3929221,3675350,311929,89244241,1015237480,2024.06.20
43,Babydoll,Dominic Fike,SONY/COLUMBIA,COL,39,41,46,20,3986559,-1.6,4052377,3974527,12032,76732884,237783340,2024.06.20
44,How You Remind Me,Nickelback,ROADRUNNER RECORDS,ROAD,32,36,37,323,3956070,-4.5,4141431,3663972,292098,91189868,729893735,2024.06.20
45,Feel It,D4vd,,,5,42,29,12,3943022,-2.1,4027532,3771044,171978,60484207,60484207,2024.06.20
46,Seven Nation Army,White Stripes,SME/LEGACY RECORDINGS,LEGC,29,33,36,447,3927138,-7.1,4228395,3838628,88510,88319767,995606556,2024.06.20
47,Tek It,Cafune,NEW ELEKTRA,NELK,6,39,27,114,3922575,-3.9,4082377,3551878,370697,83925162,384750322,2024.06.20
48,Pumped Up Kicks,Foster The People,SONY/COLUMBIA,COL,1,40,40,447,3903077,-3.8,4058413,3509353,393724,88603909,1567176587,2024.06.20
49,Romantic Homicide,D4vd,,,1,68,55,98,3858938,10.2,3500204,3565767,293171,107785470,660017906,2024.06.20
50,Yellow,Coldplay,ATLANTIC GROUP,ATLG,1,55,60,388,3787010,4.4,3628777,3771027,15983,82754347,1046616022,2024.06.20
51,Cigarette Daydreams,Cage The Elephant, RCA,RCA,33,48,44,236,3770070,-0.5,3790369,3671294,98776,87195481,750843737,2024.06.20
52,Shut Up and Dance,Walk The Moon, RCA,RCA,3,50,53,439,3760442,0.5,3740853,3552198,208244,78062970,1231792562,2024.06.20
53,Take It Easy,Eagles,EEG,EEG,31,64,66,335,3748000,6.5,3519926,3639214,108786,73547876,816643993,2024.06.20
54,Viva La Vida,Coldplay,ATLANTIC GROUP,ATLG,3,49,50,447,3733630,-1.2,3778971,3421621,312009,112861413,1235472155,2024.06.20
55,Not Allowed,TV Girl,,,15,69,64,133,3726299,7.2,3475138,3597011,129288,102796524,423648251,2024.06.20
56,Here Comes The Sun,Beatles,CAPITOL MUSIC GROUP,CAP ,23,62,57,369,3667379,3.9,3530250,3552648,114731,78196932,862147124,2024.06.20
57,The Less I Know The Better,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,1,52,48,380,3650560,-0.7,3674578,3477599,172961,88585800,1094122742,2024.06.20
58,Sweet Home Alabama,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,5,70,81,446,3600128,5.6,3410347,3429963,170165,78135087,1162081960,2024.06.20
59,Thunder,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,63,61,373,3563945,1.1,3526582,3205464,358481,88614367,1996486123,2024.06.20
60,Home,Good Neighbours,[PIAS],K8M,6,51,34,22,3561376,-4.6,3735031,3488967,72409,112660429,112660429,2024.06.20
61,The Middle,Jimmy Eat World,INTERSCOPE/GEFFEN/A&M,INT ,33,53,56,405,3520440,-3.6,3653403,3437110,83330,85321870,776380937,2024.06.20
62,Creep,Radiohead,XLR,XLR,17,59,59,396,3516621,-1.7,3579173,3141945,374676,96102777,874076186,2024.06.20
63,Somebody That I Used To Know,Gotye Feat. Kimbra,REPUBLIC RECORDS,R-RR,1,61,63,447,3514405,-0.9,3545860,2772554,741851,97638831,1473649631,2024.06.20
64,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,56,54,111,3499127,-3.4,3622843,3201030,298097,113251655,782021962,2024.06.20
65,Enter Sandman,Metallica,WARNER RECORDS,WAR ,31,92,101,447,3489017,16.6,2991417,3316894,172123,69624747,996741504,2024.06.20
66,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,3,65,69,73,3480996,-1.0,3517584,3419440,61556,98781072,358230015,2024.06.20
67,Kryptonite,3 Doors Down,REPUBLIC RECORDS,R-RR,28,54,58,447,3480455,-4.5,3645936,3069479,410976,93402526,1064807021,2024.06.20
68,I Wanna Be Yours,Arctic Monkeys,DOMINO,DOMI,17,67,62,103,3473795,-1.0,3507154,3234280,239515,102146128,568665225,2024.06.20
69,Northern Attitude,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,5,60,51,40,3457358,-3.3,3574227,3410455,46903,107478750,232388513,2024.06.20
70,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,7,66,80,112,3438330,-2.2,3515380,3175757,262573,88213656,577071843,2024.06.20
71,Livin' On A Prayer,Bon Jovi,ISLAND,ISL ,18,77,73,447,3404995,3.9,3277085,3090221,314774,83298289,1125613189,2024.06.20
72,Every Breath You Take,Police,SME/LEGACY RECORDINGS,LEGC,26,73,76,447,3400835,2.2,3326467,3017759,383076,80959185,975444337,2024.06.20
