Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
165,Alone,Marshmello, MONS RECORDS,MONS,2,169,177,370,711935,3.3,689304,469406,242529,18965902,850844057,2023.06.22
166,Pump Up the Jam,Technotronic Feat. Felly,HIP-O RECORDS,HIPD,84,171,183,165,709410,4.3,680385,521718,187692,15616207,174688698,2023.06.22
167,Gypsy Woman (She's Homeless),Crystal Waters,ISLAND,ISL ,5,111,57,54,706610,-27.9,980326,339048,367562,17138212,129341436,2023.06.22
168,Beggin',Chris Lake & Aluna,,,162,167,162,6,705851,1.0,699039,698688,7163,6453899,6453899,2023.06.22
169,Happier,Marshmello & Bastille,,,164,0,0,4,704764,56.9,449067,35796,668968,4481981,13069035,2023.06.22
170,Toca Toca,Fly Project, WEA LATINA,WEAL,6,142,105,21,703547,-11.3,793382,146442,557105,67292161,91646658,2023.06.22
171,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,EPIC,EPIC,2,159,166,174,699917,-4.2,730873,617440,82477,17673109,381123928,2023.06.22
172,Music Sounds Better With You,Stardust,THE ORCHARD,ORCH,69,138,0,11,699161,-14.5,817272,485419,213742,14223747,75046193,2023.06.22
173,This Feeling,Chainsmokers Feat. Kelsea Ballerini,Columbia Records,COL ,3,163,175,249,694783,-3.4,719324,664097,30686,18053231,431573617,2023.06.22
174,Freaks,Timmy Trumpet,THE ORCHARD,ORCH,19,170,139,395,691294,1.0,684786,544363,146931,21719701,423220316,2023.06.22
175,Self Destruction Mode,Chainsmokers & Bludnymph,SONY/COLUMBIA,COL,78,144,78,3,690245,-12.5,789116,662470,27775,2764517,2764517,2023.06.22
176,Words,Alesso & Zara Larsson,,,34,164,169,61,689983,-3.5,715132,680861,9122,19582967,55769490,2023.06.22
177,You,Regard x Troye Sivan x Tate McRae,EPIC,EPIC,4,177,190,114,689157,4.1,662246,654949,34208,17858486,165493192,2023.06.22
178,Around The World,Daft Punk, WAR - PARLOPHONE,WAR ,12,141,137,173,684318,-14.2,797315,516171,168147,20004226,221964176,2023.06.22
179,Here With Me,Marshmello Feat. CHVRCHES,REPUBLIC RECORDS,R-RR,2,168,173,224,677242,-1.9,690693,634298,42944,22869097,451368236,2023.06.22
